r12^t,r22^t,r25^t,r22^t+1,
0.0,0.0,0.0,0.0,0.9959382615759544
0.0,0.0,0.0,1.0,0.004061738424045491
0.0,0.0,1.0,0.0,0.9886363636363635
0.0,0.0,1.0,1.0,0.011363636363636364
0.0,1.0,0.0,0.0,0.06880733944954127
0.0,1.0,0.0,1.0,0.9311926605504587
0.0,1.0,1.0,0.0,0.05263157894736842
0.0,1.0,1.0,1.0,0.9473684210526315
1.0,0.0,0.0,0.0,0.925531914893617
1.0,0.0,0.0,1.0,0.07446808510638299
1.0,0.0,1.0,0.0,0.92
1.0,0.0,1.0,1.0,0.08
1.0,1.0,0.0,0.0,0.5
1.0,1.0,0.0,1.0,0.5
1.0,1.0,1.0,0.0,0.39999999999999997
1.0,1.0,1.0,1.0,0.6
