r35^t,c4^t,r35^t+1,
0.0,0.0,0.0,0.9932432432432432
0.0,0.0,1.0,0.006756756756756757
0.0,1.0,0.0,0.9687671232876713
0.0,1.0,1.0,0.031232876712328765
1.0,0.0,0.0,0.4615384615384615
1.0,0.0,1.0,0.5384615384615384
1.0,1.0,0.0,0.12322274881516586
1.0,1.0,1.0,0.8767772511848341
