r27^t,r31^t,r32^t,r33^t,r32^t+1,
0.0,0.0,0.0,0.0,0.0,0.9923954372623575
0.0,0.0,0.0,0.0,1.0,0.0076045627376425855
0.0,0.0,0.0,1.0,0.0,0.9571865443425077
0.0,0.0,0.0,1.0,1.0,0.04281345565749235
0.0,0.0,1.0,0.0,0.0,0.18604651162790697
0.0,0.0,1.0,0.0,1.0,0.813953488372093
0.0,0.0,1.0,1.0,0.0,0.5277777777777778
0.0,0.0,1.0,1.0,1.0,0.4722222222222222
0.0,1.0,0.0,0.0,0.0,0.9658848614072495
0.0,1.0,0.0,0.0,1.0,0.03411513859275053
0.0,1.0,0.0,1.0,0.0,0.9538834951456311
0.0,1.0,0.0,1.0,1.0,0.046116504854368925
0.0,1.0,1.0,0.0,0.0,0.34042553191489355
0.0,1.0,1.0,0.0,1.0,0.6595744680851063
0.0,1.0,1.0,1.0,0.0,0.6428571428571429
0.0,1.0,1.0,1.0,1.0,0.35714285714285715
1.0,0.0,0.0,0.0,0.0,0.9541284403669724
1.0,0.0,0.0,0.0,1.0,0.04587155963302752
1.0,0.0,0.0,1.0,0.0,0.8933333333333333
1.0,0.0,0.0,1.0,1.0,0.10666666666666666
1.0,0.0,1.0,0.0,0.0,0.11340206185567012
1.0,0.0,1.0,0.0,1.0,0.88659793814433
1.0,0.0,1.0,1.0,0.0,0.17307692307692307
1.0,0.0,1.0,1.0,1.0,0.8269230769230769
1.0,1.0,0.0,0.0,0.0,0.8255813953488372
1.0,1.0,0.0,0.0,1.0,0.1744186046511628
1.0,1.0,0.0,1.0,0.0,0.9108910891089108
1.0,1.0,0.0,1.0,1.0,0.0891089108910891
1.0,1.0,1.0,0.0,0.0,0.15999999999999998
1.0,1.0,1.0,0.0,1.0,0.84
1.0,1.0,1.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0,0.5
