r32^t,r33^t,r33^t+1,
0.0,0.0,0.0,0.9970873786407767
0.0,0.0,1.0,0.0029126213592233006
0.0,1.0,0.0,0.022357723577235776
0.0,1.0,1.0,0.9776422764227642
1.0,0.0,0.0,0.918918918918919
1.0,0.0,1.0,0.08108108108108107
1.0,1.0,0.0,0.05102040816326531
1.0,1.0,1.0,0.9489795918367347
