r20^t,c3b^t,r20^t+1,
0.0,0.0,0.0,0.9991532599491956
0.0,0.0,1.0,0.000846740050804403
0.0,1.0,0.0,0.9894366197183099
0.0,1.0,1.0,0.010563380281690142
1.0,0.0,0.0,0.02604166666666667
1.0,0.0,1.0,0.9739583333333334
1.0,1.0,0.0,0.027322404371584702
1.0,1.0,1.0,0.9726775956284153
