r19^t,c3b^t,r19^t+1,
0.0,0.0,0.0,0.9967897271268059
0.0,0.0,1.0,0.003210272873194222
0.0,1.0,0.0,0.9566160520607375
0.0,1.0,1.0,0.04338394793926248
1.0,0.0,0.0,0.012000000000000002
1.0,0.0,1.0,0.9880000000000001
1.0,1.0,0.0,0.022648083623693378
1.0,1.0,1.0,0.9773519163763067
