r23^t,r24^t,r23^t+1,
0.0,0.0,0.0,0.9990403071017274
0.0,0.0,1.0,0.0009596928982725527
0.0,1.0,0.0,0.9313725490196079
0.0,1.0,1.0,0.06862745098039216
1.0,0.0,0.0,0.03980099502487563
1.0,0.0,1.0,0.9601990049751244
1.0,1.0,0.0,0.04761904761904762
1.0,1.0,1.0,0.9523809523809524
