r16^t,c3a^t,r16^t+1,
0.0,0.0,0.0,0.9985207100591715
0.0,0.0,1.0,0.0014792899408284023
0.0,1.0,0.0,0.9702048417132216
0.0,1.0,1.0,0.029795158286778402
1.0,0.0,0.0,0.015781922525107604
1.0,0.0,1.0,0.9842180774748923
1.0,1.0,0.0,0.012048192771084336
1.0,1.0,1.0,0.9879518072289157
