r25^t,r26^t,r27^t,r26^t+1,
0.0,0.0,0.0,0.0,0.9933701657458563
0.0,0.0,0.0,1.0,0.0066298342541436465
0.0,0.0,1.0,0.0,0.915211970074813
0.0,0.0,1.0,1.0,0.08478802992518704
0.0,1.0,0.0,0.0,0.35483870967741926
0.0,1.0,0.0,1.0,0.6451612903225806
0.0,1.0,1.0,0.0,0.27777777777777785
0.0,1.0,1.0,1.0,0.7222222222222222
1.0,0.0,0.0,0.0,0.9301919720767888
1.0,0.0,0.0,1.0,0.06980802792321117
1.0,0.0,1.0,0.0,0.8551401869158879
1.0,0.0,1.0,1.0,0.14485981308411217
1.0,1.0,0.0,0.0,0.4166666666666667
1.0,1.0,0.0,1.0,0.5833333333333333
1.0,1.0,1.0,0.0,0.33333333333333337
1.0,1.0,1.0,1.0,0.6666666666666667
