r28^t,r29^t,r35^t,c2^t,c4^t,o1^t,c4^t+1,
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
