r10^t,c3a^t,r10^t+1,
0.0,0.0,0.0,0.9954954954954954
0.0,0.0,1.0,0.0045045045045045045
0.0,1.0,0.0,0.9323671497584541
0.0,1.0,1.0,0.0676328502415459
1.0,0.0,0.0,0.006950477845351868
1.0,0.0,1.0,0.993049522154648
1.0,1.0,0.0,0.008454106280193236
1.0,1.0,1.0,0.9915458937198067
