r28^t,c4^t,r28^t+1,
0.0,0.0,0.0,0.9937106918238994
0.0,0.0,1.0,0.006289308176100629
0.0,1.0,0.0,0.998179335457442
0.0,1.0,1.0,0.001820664542558034
1.0,0.0,0.0,0.5
1.0,0.0,1.0,0.5
1.0,1.0,0.0,0.08
1.0,1.0,1.0,0.9199999999999999
