r5^t,r6^t,r10^t,r11^t,r15^t,r16^t,c3a^t,c3b^t,c3a^t+1,
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8164556962025317
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.18354430379746833
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3655913978494624
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6344086021505377
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.830188679245283
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16981132075471697
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2517482517482517
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7482517482517483
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7901234567901234
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.20987654320987653
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.30833333333333335
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6916666666666667
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7000000000000001
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666667
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33333333333333337
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.33333333333333337
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666667
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.33333333333333337
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666667
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21739130434782608
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.35000000000000003
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.65
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8571428571428571
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7692307692307693
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23076923076923078
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.16666666666666669
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7941176470588235
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.2058823529411765
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.163265306122449
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8367346938775511
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.19999999999999998
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7999999999999999
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.826530612244898
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.17346938775510204
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3125
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.33333333333333337
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666667
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.33333333333333337
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666667
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2857142857142857
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7142857142857142
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16666666666666669
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333333
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
