r21^t,c3b^t,r21^t+1,
0.0,0.0,0.0,0.9991212653778558
0.0,0.0,1.0,0.0008787346221441124
0.0,1.0,0.0,0.9832589285714285
0.0,1.0,1.0,0.016741071428571428
1.0,0.0,0.0,0.03829787234042553
1.0,0.0,1.0,0.9617021276595745
1.0,1.0,0.0,0.050359712230215826
1.0,1.0,1.0,0.9496402877697842
