r1^t,r3^t,r7^t,r3^t+1,
0.0,0.0,0.0,0.0,0.9924812030075187
0.0,0.0,0.0,1.0,0.007518796992481203
0.0,0.0,1.0,0.0,0.9328358208955224
0.0,0.0,1.0,1.0,0.06716417910447761
0.0,1.0,0.0,0.0,0.036458333333333336
0.0,1.0,0.0,1.0,0.9635416666666666
0.0,1.0,1.0,0.0,0.128125
0.0,1.0,1.0,1.0,0.871875
1.0,0.0,0.0,0.0,0.9357798165137614
1.0,0.0,0.0,1.0,0.06422018348623854
1.0,0.0,1.0,0.0,0.9032258064516129
1.0,0.0,1.0,1.0,0.0967741935483871
1.0,1.0,0.0,0.0,0.1
1.0,1.0,0.0,1.0,0.9
1.0,1.0,1.0,0.0,0.08951965065502183
1.0,1.0,1.0,1.0,0.9104803493449782
