r18^t,c3b^t,r18^t+1,
0.0,0.0,0.0,0.996319018404908
0.0,0.0,1.0,0.0036809815950920245
0.0,1.0,0.0,0.9723247232472325
0.0,1.0,1.0,0.027675276752767528
1.0,0.0,0.0,0.019713261648745522
1.0,0.0,1.0,0.9802867383512546
1.0,1.0,0.0,0.014198782961460446
1.0,1.0,1.0,0.9858012170385395
