r31^t,r32^t,r31^t+1,
0.0,0.0,0.0,0.9957983193277311
0.0,0.0,1.0,0.004201680672268907
0.0,1.0,0.0,0.9471698113207547
0.0,1.0,1.0,0.052830188679245285
1.0,0.0,0.0,0.013182674199623351
1.0,0.0,1.0,0.9868173258003766
1.0,1.0,0.0,0.0310077519379845
1.0,1.0,1.0,0.9689922480620156
