r1^t,r2^t,r4^t,r2^t+1,
0.0,0.0,0.0,0.0,0.9985835694050992
0.0,0.0,0.0,1.0,0.00141643059490085
0.0,0.0,1.0,0.0,0.8448275862068966
0.0,0.0,1.0,1.0,0.15517241379310345
0.0,1.0,0.0,0.0,0.3043478260869565
0.0,1.0,0.0,1.0,0.6956521739130435
0.0,1.0,1.0,0.0,0.41379310344827586
0.0,1.0,1.0,1.0,0.5862068965517241
1.0,0.0,0.0,0.0,0.9506008010680908
1.0,0.0,0.0,1.0,0.04939919893190921
1.0,0.0,1.0,0.0,0.8898678414096917
1.0,0.0,1.0,1.0,0.11013215859030838
1.0,1.0,0.0,0.0,0.2868852459016394
1.0,1.0,0.0,1.0,0.7131147540983607
1.0,1.0,1.0,0.0,0.5909090909090909
1.0,1.0,1.0,1.0,0.4090909090909091
