r15^t,c3a^t,r15^t+1,
0.0,0.0,0.0,0.9981447124304268
0.0,0.0,1.0,0.001855287569573284
0.0,1.0,0.0,0.9760191846522782
0.0,1.0,1.0,0.023980815347721823
1.0,0.0,0.0,0.007194244604316547
1.0,0.0,1.0,0.9928057553956835
1.0,1.0,0.0,0.008090614886731391
1.0,1.0,1.0,0.9919093851132685
