r2^t,r4^t,r8^t,r4^t+1,
0.0,0.0,0.0,0.0,0.992603550295858
0.0,0.0,0.0,1.0,0.007396449704142013
0.0,0.0,1.0,0.0,0.6699029126213591
0.0,0.0,1.0,1.0,0.3300970873786408
0.0,1.0,0.0,0.0,0.1348122866894198
0.0,1.0,0.0,1.0,0.8651877133105803
0.0,1.0,1.0,0.0,0.02380952380952381
0.0,1.0,1.0,1.0,0.9761904761904763
1.0,0.0,0.0,0.0,0.8089430894308943
1.0,0.0,0.0,1.0,0.19105691056910568
1.0,0.0,1.0,0.0,0.5714285714285714
1.0,0.0,1.0,1.0,0.4285714285714286
1.0,1.0,0.0,0.0,0.2318840579710145
1.0,1.0,0.0,1.0,0.7681159420289856
1.0,1.0,1.0,0.0,0.25
1.0,1.0,1.0,1.0,0.75
