r4^t,r8^t,r9^t,r8^t+1,
0.0,0.0,0.0,0.0,0.9974226804123711
0.0,0.0,0.0,1.0,0.002577319587628866
0.0,0.0,1.0,0.0,0.9101382488479262
0.0,0.0,1.0,1.0,0.08986175115207373
0.0,1.0,0.0,0.0,0.6933333333333334
0.0,1.0,0.0,1.0,0.3066666666666667
0.0,1.0,1.0,0.0,0.5952380952380952
0.0,1.0,1.0,1.0,0.4047619047619047
1.0,0.0,0.0,0.0,0.908888888888889
1.0,0.0,0.0,1.0,0.09111111111111111
1.0,0.0,1.0,0.0,0.8390243902439024
1.0,0.0,1.0,1.0,0.16097560975609757
1.0,1.0,0.0,0.0,0.875
1.0,1.0,0.0,1.0,0.125
1.0,1.0,1.0,0.0,0.7857142857142857
1.0,1.0,1.0,1.0,0.2142857142857143
