r11^t,c3a^t,r11^t+1,
0.0,0.0,0.0,0.9982905982905983
0.0,0.0,1.0,0.0017094017094017094
0.0,1.0,0.0,0.9700460829493088
0.0,1.0,1.0,0.029953917050691246
1.0,0.0,0.0,0.007614213197969543
1.0,0.0,1.0,0.9923857868020305
1.0,1.0,0.0,0.013311148086522465
1.0,1.0,1.0,0.9866888519134775
