r9^t,r13^t,r24^t,r13^t+1,
0.0,0.0,0.0,0.0,0.9950657894736842
0.0,0.0,0.0,1.0,0.004934210526315789
0.0,0.0,1.0,0.0,0.7857142857142857
0.0,0.0,1.0,1.0,0.21428571428571427
0.0,1.0,0.0,0.0,0.0966183574879227
0.0,1.0,0.0,1.0,0.9033816425120773
0.0,1.0,1.0,0.0,0.09523809523809523
0.0,1.0,1.0,1.0,0.9047619047619047
1.0,0.0,0.0,0.0,0.9209302325581395
1.0,0.0,0.0,1.0,0.07906976744186048
1.0,0.0,1.0,0.0,0.5925925925925926
1.0,0.0,1.0,1.0,0.4074074074074074
1.0,1.0,0.0,0.0,0.10043668122270742
1.0,1.0,0.0,1.0,0.8995633187772927
1.0,1.0,1.0,0.0,0.11111111111111112
1.0,1.0,1.0,1.0,0.888888888888889
